Date,Close/Last,Open,High,Low
2025-05-02,5686.67,5645.88,5700.7,5642.28
2025-05-01,5604.14,5625.14,5658.91,5597.35
2025-04-30,5569.06,5499.44,5581.84,5433.24
2025-04-29,5560.83,5508.87,5571.95,5505.7
2025-04-28,5528.75,5529.22,5553.66,5468.64
2025-04-25,5525.21,5489.73,5528.11,5455.86
2025-04-24,5484.77,5381.38,5489.4,5371.96
2025-04-23,5375.86,5395.92,5469.69,5356.17
2025-04-22,5287.76,5207.67,5309.61,5207.67
2025-04-21,5158.2,5232.94,5232.94,5101.63
2025-04-17,5282.7,5305.45,5328.31,5255.58
2025-04-16,5275.7,5335.75,5367.24,5220.79
2025-04-15,5396.63,5411.99,5450.41,5386.44
2025-04-14,5405.97,5441.96,5459.46,5358.02
2025-04-11,5363.36,5255.56,5381.46,5220.77
2025-04-10,5268.05,5353.15,5353.15,5115.27
2025-04-09,5456.9,4965.28,5481.34,4948.43
2025-04-08,4982.77,5193.57,5267.47,4910.42
2025-04-07,5062.25,4953.79,5246.57,4835.04
2025-04-04,5074.08,5292.14,5292.14,5069.9
2025-04-03,5396.52,5492.74,5499.53,5390.83
2025-04-02,5670.97,5580.76,5695.31,5571.48
2025-04-01,5633.07,5597.53,5650.57,5558.52
2025-03-31,5611.85,5527.91,5627.56,5488.73
2025-03-28,5580.94,5679.2,5685.89,5572.42
2025-03-27,5693.31,5695.64,5732.28,5670.94
2025-03-26,5712.2,5771.66,5783.62,5694.41
2025-03-25,5776.65,5775.96,5786.95,5760.42
2025-03-24,5767.57,5718.08,5775.14,5718.08
2025-03-21,5667.56,5630.73,5670.84,5603.1
2025-03-20,5662.89,5646.92,5711.15,5632.33
2025-03-19,5675.29,5632.37,5715.33,5622.2
2025-03-18,5614.66,5654.53,5654.53,5597.76
2025-03-17,5675.12,5635.6,5703.52,5631.12
2025-03-14,5638.94,5563.85,5645.27,5563.85
2025-03-13,5521.52,5594.45,5597.78,5504.65
2025-03-12,5599.3,5624.84,5642.19,5546.09
2025-03-11,5572.07,5603.65,5636.3,5528.41
2025-03-10,5614.56,5705.37,5705.37,5564.02
2025-03-07,5770.2,5726.01,5783.01,5666.29
2025-03-06,5738.52,5785.87,5812.08,5711.64
2025-03-05,5842.63,5781.36,5860.59,5742.35
2025-03-04,5778.15,5811.98,5865.08,5732.59
2025-03-03,5849.72,5968.33,5986.09,5810.91
2025-02-28,5954.5,5856.74,5959.4,5837.66
2025-02-27,5861.57,5981.88,5993.69,5858.78
2025-02-26,5956.06,5970.87,6009.82,5932.69
2025-02-25,5955.25,5982.73,5992.65,5908.49
2025-02-24,5983.25,6026.69,6043.65,5977.83
2025-02-21,6013.13,6114.1,6114.82,6008.56
