report_date,bond,bond_yield,years_to_maturity
2025-05-02,REPO,7.5,0.0
2025-05-02,R2048,11.81,22.82546201232033
2025-05-02,SATB12M,7.882,1.0
2025-05-02,R186,8.0,1.6372347707049966
2025-05-02,R2030,8.82,4.750171115674196
2025-05-02,R213,9.29,5.826146475017112
2025-05-02,R2032,9.695,6.913073237508556
2025-05-02,R2033,9.805,7.912388774811773
2025-05-02,R2035,10.595,9.826146475017111
2025-05-02,R209,10.925,10.913073237508556
2025-05-02,R2038,11.225,12.91170431211499
2025-05-02,R2040,11.625,14.74880219028063
2025-05-02,R214,11.48,15.827515400410675
2025-05-02,R2044,11.825,18.748802190280628
2025-05-02,R2037,11.18,11.75085557837098
2025-05-02,R2053,11.72,27.91238877481177
2025-05-02,ZARGB20,11.82,20.0
2025-05-02,ZARGB2,8.095,2.0
2025-05-02,SATB6M,7.92,0.5
2025-05-02,SATB3M,7.62,0.25
2025-05-02,ZARGB30,11.683,30.0
2025-05-02,ZARGB25,11.772,25.0
2025-05-02,SATB9M,8.01,0.75
2025-05-02,ZARGB15,11.593,15.0
2025-05-02,ZARGB10,10.646,10.0
2025-05-02,ZARGB5,8.928,5.0
2025-05-02,ZARGB3,8.358,3.0
2025-05-01,R214,11.435,15.83025325119781
2025-05-01,SATB12M,7.882,1.0
2025-05-01,R186,7.99,1.6399726214921286
2025-05-01,R2030,8.8,4.752908966461328
2025-05-01,R213,9.285,5.828884325804244
2025-05-01,R2032,9.69,6.915811088295688
2025-05-01,R2033,9.795,7.915126625598905
2025-05-01,R2035,10.575,9.828884325804244
2025-05-01,R209,10.885,10.915811088295689
2025-05-01,R2037,11.14,11.75359342915811
2025-05-01,R2038,11.185,12.91444216290212
2025-05-01,R2040,11.58,14.75154004106776
2025-05-01,ZARGB15,11.548,15.0
2025-05-01,R2044,11.75,18.751540041067763
2025-05-01,R2053,11.66,27.915126625598905
2025-05-01,ZARGB2,8.083,2.0
2025-05-01,ZARGB3,8.343,3.0
2025-05-01,ZARGB5,8.91,5.0
2025-05-01,ZARGB10,10.622,10.0
2025-05-01,ZARGB20,11.75,20.0
2025-05-01,ZARGB25,11.712,25.0
2025-05-01,ZARGB30,11.623,30.0
2025-05-01,R2048,11.75,22.82819986310746
2025-04-30,R2033,9.795,7.917864476386037
2025-04-30,R2038,11.185,12.917180013689254
2025-04-30,R2037,11.14,11.756331279945243
2025-04-30,R209,10.885,10.91854893908282
2025-04-30,R2035,10.575,9.831622176591376
2025-04-30,SATB12M,7.882,1.0
2025-04-30,R2032,9.69,6.91854893908282
2025-04-30,R213,9.285,5.831622176591376
2025-04-30,R2030,8.8,4.75564681724846
2025-04-30,R186,7.99,1.6427104722792607
2025-04-30,R214,11.435,15.83299110198494
2025-04-30,R2040,11.58,14.754277891854894
2025-04-30,ZARGB20,11.75,20.0
2025-04-30,R2044,11.75,18.75427789185489
2025-04-30,ZARGB10,10.621,10.0
2025-04-30,R2048,11.75,22.830937713894592
2025-04-30,ZARGB25,11.712,25.0
2025-04-30,ZARGB15,11.548,15.0
2025-04-30,ZARGB30,11.624,30.0
2025-04-30,ZARGB5,8.909,5.0
2025-04-30,ZARGB3,8.343,3.0
2025-04-30,ZARGB2,8.083,2.0
2025-04-30,R2053,11.66,27.91786447638604
2025-04-29,SATB12M,7.882,1.0
2025-04-29,R186,7.98,1.6454483230663928
2025-04-29,R2030,8.8,4.758384668035592
2025-04-29,R213,9.295,5.834360027378508
2025-04-29,R2032,9.7,6.921286789869952
2025-04-29,R2033,9.81,7.920602327173169
2025-04-29,R2035,10.605,9.834360027378509
2025-04-29,R209,10.91,10.921286789869953
2025-04-29,R2037,11.165,11.759069130732374
2025-04-29,R2038,11.205,12.919917864476384
2025-04-29,R2040,11.585,14.757015742642023
2025-04-29,R214,11.44,15.835728952772074
2025-04-29,R2044,11.745,18.757015742642025
2025-04-29,R2053,11.65,27.920602327173167
2025-04-29,ZARGB2,8.073,2.0
2025-04-29,ZARGB3,8.336,3.0
2025-04-29,ZARGB5,8.91,5.0
2025-04-29,ZARGB10,10.65,10.0
2025-04-29,ZARGB15,11.554,15.0
2025-04-29,ZARGB20,11.743,20.0
2025-04-29,ZARGB25,11.702,25.0
2025-04-29,ZARGB30,11.614,30.0
2025-04-29,R2048,11.74,22.833675564681723
2025-04-28,R2032,9.7,6.924024640657084
2025-04-28,R2038,11.205,12.922655715263518
